                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.2383,                0.66341,                 1.1279,                0.92579,                0.88371,                0.91989,                0.54216,                 1.4497,                 0.6778,                  1.375,               0.004258,               0.004258,               0.004258
                    118,                 1.2426,                0.66234,                 1.1225,                0.93082,                0.88872,                0.91764,                 0.5392,                 1.4477,                0.66927,                 1.3685,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2341,                 0.6636,                 1.1232,                0.91453,                0.89161,                0.91891,                0.54628,                 1.4297,                0.66202,                 1.3488,               0.004159,               0.004159,               0.004159
                    120,                 1.2517,                0.67509,                 1.1287,                0.91804,                0.88675,                0.91665,                0.54812,                  1.425,                0.65649,                 1.3323,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.2326,                0.66315,                 1.1193,                0.91227,                0.88537,                0.91564,                0.54211,                 1.4335,                 0.6646,                 1.3454,                0.00406,                0.00406,                0.00406
                    122,                 1.2101,                   0.65,                 1.1121,                0.91017,                0.90233,                0.92033,                0.53799,                 1.4447,                0.66091,                 1.3541,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2051,                0.64462,                 1.1097,                0.91119,                0.90418,                0.92075,                 0.5396,                 1.4547,                0.66104,                 1.3653,               0.003961,               0.003961,               0.003961
                    124,                 1.2064,                0.64216,                 1.1086,                0.90703,                0.90302,                0.92232,                0.54139,                 1.4446,                0.66129,                 1.3682,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.2038,                 0.6425,                 1.1083,                0.90853,                0.90182,                0.92493,                0.54121,                 1.4545,                0.66177,                  1.376,               0.003862,               0.003862,               0.003862
                    126,                 1.1938,                 0.6338,                 1.0961,                0.91489,                0.89106,                0.92171,                0.54174,                 1.4501,                0.66644,                  1.374,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.2094,                0.64372,                 1.1018,                0.91183,                0.89819,                0.92097,                0.53961,                 1.4431,                0.65836,                 1.3708,               0.003763,               0.003763,               0.003763
                    128,                 1.2084,                0.64578,                  1.104,                0.91675,                0.90198,                0.92018,                0.54092,                 1.4464,                0.66293,                  1.368,              0.0037135,              0.0037135,              0.0037135
